Nombre,Cargo,Grados,Codigo
Jocelyn_Simmonds,Prof_Asociado,"[{'Grado': 'Doctor', 'Institucion': 'University_of_Toronto', 'fecha': '10-06-2011'}, {'Grado': 'Ingeniero_Civil_en_Computacion', 'Institucion': 'Universidad_De_Chile', 'fecha': '05-04-2005'}, {'Grado': 'Magister', 'Institucion': 'Vrije_Universiteit_Brussel', 'fecha': '12-09-2003'}]",DCC
Sergio_Ochoa,Prof_Asociado,"[{'Grado': 'Doctor', 'Institucion': 'Pontificia_Universidad_Catolica_De_Chile', 'fecha': '05-09-2002'}, {'Grado': 'Ingeniero_en_Gestion_Informatica', 'Institucion': 'Universidad_Nacional_del_Centro_de_Buenos_Aires', 'fecha': '18-10-1996'}]",DCC
Jose_Pino,Prof_Titular,"[{'Grado': 'Magister', 'Institucion': 'U_de_Michigan', 'fecha': '13-04-1977'}, {'Grado': 'Ingeniero_Matematico', 'Institucion': 'Universidad_De_Chile', 'fecha': '16-10-1974'}]",DCC
Maria_Rivara,Prof_Titular,"[{'Grado': 'Doctor', 'Institucion': 'UCatolica_de_Lovaina', 'fecha': '24-12-1984'}, {'Grado': 'Magister', 'Institucion': 'Universidad_Catolica_de_Lovaina', 'fecha': '26-09-1980'}, {'Grado': 'Ingeniero_Matematico', 'Institucion': 'Universidad_De_Chile', 'fecha': '26-12-1973'}]",DCC
Ivan_Sipiran,Prof_Asistente,"[{'Grado': 'Doctor', 'Institucion': 'Universidad_De_Chile', 'fecha': '07-03-2014'}]",DCC
Eric_Tanter,Prof_Titular,"[{'Grado': 'Doctor', 'Institucion': 'U_de_Nantes', 'fecha': '06-01-2006'}]",DCC
Juan_Alvarez,Prof_Asistente,"[{'Grado': 'Magister', 'Institucion': 'U_de_Waterloo', 'fecha': '31-12-1983'}, {'Grado': 'Ingeniero_de_Ejecucion_en_Computacion_e_Informatica', 'Institucion': 'Universidad_De_Chile', 'fecha': '08-04-1982'}]",DCC
Matias_Toro,Prof_Asistente,"[{'Grado': 'Doctor', 'Institucion': 'Universidad_De_Chile', 'fecha': '19-07-2019'}, {'Grado': 'Ingeniero_Civil_en_Computacion', 'Institucion': 'Universidad_De_Chile', 'fecha': '13-05-2008'}]",DCC
Sandra_Fuente,Prof_Adjunto,"[{'Grado': 'Magister', 'Institucion': 'Universidad_De_Chile', 'fecha': '21-08-1998'}, {'Grado': 'Profesor_De_Estado', 'Institucion': 'Universidad_De_Chile', 'fecha': '07-09-1976'}]",DCC
Vicente_Acuna,Prof_Adjunto,"[{'Grado': 'Ingeniero_Civil_Matematico', 'Institucion': 'Universidad_De_Chile', 'fecha': '21-12-2004'}]",DIM
Ricardo_Freire,Investigador_Postdoctoral,"[{'Grado': 'Doctor', 'Institucion': 'IMPA', 'fecha': '23-08-2022'}]",DIM
Pablo_Dartnell,Prof_Adjunto,"[{'Grado': 'Doctor', 'Institucion': 'University_of_Yale', 'fecha': '06-07-1991'}, {'Grado': 'Magister', 'Institucion': 'University_of_Yale', 'fecha': '13-12-1988'}, {'Grado': 'Magister', 'Institucion': 'University_of_Yale', 'fecha': '08-06-1987'}, {'Grado': 'Ingeniero_Civil_Matematico', 'Institucion': 'Universidad_De_Chile', 'fecha': '26-07-1985'}]",DIM
Joaquin_Fontbona,Prof_Asociado,"[{'Grado': 'Doctor', 'Institucion': 'U_Pierre_el_Marie_Curie_Paris_VI', 'fecha': '03-03-2004'}, {'Grado': 'Ingeniero_Civil_Matematico', 'Institucion': 'Universidad_De_Chile', 'fecha': '06-08-1999'}]",DIM
Rayssa_Aires,Prof_Asistente,"[{'Grado': 'Doctor', 'Institucion': 'Universidade_Federal_da_Paraib', 'fecha': '03-04-2019'}]",DIM
