Titulo,Codigo,Creditos,Requisitos,Profesores,Departamento
Análisis Funcional,MA4801,6,['MA3802'],['Salome Martinez S.'],DIM
Ecuaciones en Derivadas Parciales,MA4802,9,['MA4801'],"['Rayssa Aires de Lima Caju', 'Claudio Muñoz C.']",DIM
Práctica Profesional I,MA4902,7,['MA3402/AUTOR'],['Hanne Van Den Bosch'],DIM
Problemas Inversos y de Control de EDP,MA5306,6,['MA4601/MA4802'],['Axel Osses A.'],DIM
Cálculo Estocástico,MA5402,6,['MA4401'],['Daniel Remenik'],DIM
Laboratorio de Modelamiento Matemático I,MA5500,6,['MA49A/MA4902/AUTOR'],"['Jaime San Martín', 'Alejandro Maass S.']",DIM
Teoría de Grafos,MA5505,6,['MA3705'],['Martín Matamala'],DIM
Seminario de Recurrencia en Teoría Ergódica,MA5506,6,['MA3802/MA5802'],['Sebastián Donoso F.'],DIM
Ecología Matemática,MA5509,6,['MA2002'],['Salome Martinez S.'],DIM
Análisis no Lineal,MA5603,6,['MA5601/MA4802'],['Raul Manasevich T.'],DIM
Análisis Convexo y Dualidad,MA5801,6,['MA4801/AUTOR'],['Alejandro Jofré C.'],DIM
Práctica Profesional II,MA5902,7,"['(MA4902', '(MA4402/MA4703))']",['Hanne Van Den Bosch'],DIM
Computación Distribuida,MA6140,6,['MA3705/AUTOR'],['Iván Rapaport'],DIM
Seminarios,MA6420,"MA4230,AUTOR",['Electivo Doctorado'],['Daniel Remenik'],DIM
Práctica Profesional III,MA6902,7,"['(MA5902', 'MA4703)/AUTOR']",['Hanne Van Den Bosch'],DIM
Introducción al Trabajo de Título,MA6908,3,['No tiene'],['Hanne Van Den Bosch'],DIM
Trabajo de Título,MA6909,21,"['(MA6908/MA6907)', '(EI4205S/EI2090)']",['Hanne Van Den Bosch'],DIM
Trabajo de Memoria de Título,MA6910,21,"['(MA6908/MA6907)', '(EI4205/EI2090)', 'AUTOR']",['Hanne Van Den Bosch'],DIM
Introducción a la Tesis I,MA7990,,,[],DIM
Introducción a la Tesis II,MA7991,,,[],DIM
Trabajo de Tesis I,MA8901,,,[],DIM
Trabajo de Tesis II,MA8902,,,[],DIM
Trabajo de Tesis III,MA8903,,,[],DIM
Trabajo de Tesis IV,MA8904,,,[],DIM
Taller de Tesis,MA8961,No tiene,['Obligatorio para el Magíster en Matemáticas Aplicadas'],[],DIM
Seminario de Titulación,MA8962,No tiene,['Sólo para Magíster y Doctorado'],[],DIM
Seminario de Titulación,MA8963,,,[],DIM
Introducción a la Tesis,MA799,,,[],DIM
Herramientas Computacionales para Ingeniería y Ciencias,CC1000,3,['No tiene'],['Juan Álvarez R.'],DCC
Introducción a la Programación,CC1002,6,['CR3'],"['Valentin Muñoz Apablaza', 'Francisco J. Gutiérrez', 'Benjamín Bustos', 'Cristian Parra O.', 'Matías Torrealba A.', 'Eduardo Godoy Vega', 'Nelson Baloian T.', 'Patricio Inostroza F.', 'Juan Álvarez R.']",DCC
Algoritmos y Estructuras de Datos,CC3001,6,"['(CC1001/CC1002)', 'CR90']","['Patricio Poblete', 'Nelson Baloian T.', 'Alejandro Quijada']",DCC
Metodologías de Diseño y Programación,CC3002,6,['CC3001/CC30A'],"['Ignacio Slater M.', 'Matías Toro I.']",DCC
Matemáticas Discretas para la Computación,CC3101,6,"['CC1002', 'MA1101']",['Federico Olmedo'],DCC
Teoría de la Computación,CC3102,6,['CC3101/MA3705'],"['Andrés Abeliuk', 'Alejandro Hevia A.']",DCC
Bases de Datos,CC3201,6,['CC3001'],"['Claudio Gutiérrez', 'Matías Toro I.']",DCC
Programación de Software de Sistemas,CC3301,6,['CC3001'],"['Rodrigo Urrea', 'Luis Mateu B.', 'Alexandra Ibarra']",DCC
Modelación y Computación Gráfica para Ingenieros,CC3501,6,"['CC1002', 'MA2001', 'MA2601', 'FI2001']","['Nancy Hitschfeld K.', 'Iván Sipiran']",DCC
Taller de Programación B,CC4002,3,['No tiene'],['Andrés Abeliuk'],DCC
Taller de Programación Competitiva B,CC4006,6,['No tiene'],['Andrés Abeliuk'],DCC
Lenguajes de Programación,CC4101,6,['CC3102'],"['Ismael Figueroa', 'Federico Olmedo']",DCC
Diseño y Análisis de Algoritmos,CC4102,6,"['(MA3403/MA3402)', 'CC3001', 'CC3102']","['Gonzalo Navarro', 'Benjamín Bustos']",DCC
Arquitectura de Computadores,CC4301,6,"['CC3301', 'FI2002']",['Luis Mateu B.'],DCC
Sistemas Operativos,CC4302,6,['CC3301'],"['Rodrigo Arenas A.', 'Luis Mateu B.', 'Lucas Torrealba A.']",DCC
Redes,CC4303,6,['CC4302'],"['Javier Bustos Jiménez', 'José M. Piquer']",DCC
Ingeniería de Software,CC4401,6,"['CC3002', 'CC3201']",['Jocelyn Simmonds'],DCC
"Formulación, Evaluación y Gestión de Proyectos",CC4402,6,"['CC4401', 'CD2201', 'IN2201']","['Sergio F. Ochoa D.', 'Daniel Perovich']",DCC
Taller de Práctica Profesional I,CC4900,No tiene,['CC4902'],['Iván Sipiran'],DCC
Práctica Profesional I,CC4901,7,"['(CC3002', 'CC3201', 'CC3301', 'CC4900)/AUTOR']",['Iván Sipiran'],DCC
Desarrollo de Aplicaciones Web,CC5002,6,['CC3001/CC30A'],['José Urzúa'],DCC
Análisis Avanzado de Algoritmos,CC5101,6,"['CC3001', '(MA3403/AUTOR)']",['Patricio Poblete'],DCC
Lenguajes de Programación II,CC5104,6,"['((CC4101/CC41A)', '(CC3002/CC51H))/AUTOR']",['Éric Tanter'],DCC
Programación Funcional,CC5115,,,['Federico Olmedo'],DCC
Diseño e Implementación de Compiladores,CC5116,6,"['CC3301', 'CC4101']",['Éric Tanter'],DCC
"Algoritmos, Redes y Equidad: Análisis de Sistemas Sociotécnicos",CC5117,6,['CC3101/MA3403'],['Andrés Abeliuk'],DCC
Minería de Datos,CC5205,6,['CC3001'],"['Juan José Alegría F.', 'Valentin Barriere']",DCC
Visualización de Información,CC5208,6,['CC3201'],['Eduardo Graells Garrido'],DCC
Recuperación de Información Multimedia,CC5213,6,['CC3001'],['Juan Manuel Barrios'],DCC
Introducción a la Criptografía Moderna,CC5301,6,"['(CC3001/CC30A)', '(CC3102/CC30B)', '(MA3403/MA34A/MA47A/MA4701/AUTOR)']",['Alejandro Hevia A.'],DCC
Arquitectura de Sistemas de Alta Disponibilidad,CC5304,6,"['(CC3201/CC42A)', '(CC4302/CC41B)']",['Cesar Guerrero S.'],DCC
Taller de Redes De Datos,CC5322,3,['CC4303'],['Rodrigo Arenas A.'],DCC
Diseño de Sistemas de Internet de las Cosas,CC5326,6,"['CC3301', 'CC4303']",['Luciano Radrigan F.'],DCC
Sistemas embebidos y sensores,CC5328,6,['CC4302'],['Luciano Radrigan F.'],DCC
Ingeniería de Software II,CC5401,6,"['CC4101', 'CC4401']",['Sergio F. Ochoa D.'],DCC
Proyecto de Software,CC5402,12,"['(CC4402', 'CC5205)/(IN3301', 'CC5401', 'CC4303', 'CC4102)']","['Cristian Salazar De la Fuente', 'Cecilia Bastarrica', 'Gonzalo Alarcon Usui']",DCC
Taller de Diseño y Desarrollo de Videojuegos,CC5408,6,['CC1002'],['Elías Zelada'],DCC
Taller de Videojuegos Multijugador,CC5409,6,['CC3002'],['Elías Zelada'],DCC
Mallas Geométricas y Aplicaciones,CC5501,6,['CC3001/AUTOR'],['Benjamín Mellado'],DCC
Arquitectura de Motores de Juegos,CC5512,6,"['CC3501', 'CC4302', 'CC4401']",['Daniel Calderón'],DCC
Procesamiento geométrico y análisis de formas,CC5513,6,"['CC4102', 'CC3501']",['Iván Sipiran'],DCC
Preparación y Evaluación de Proyectos TI,CC5601,6,['CC4402'],['Pablo González J.'],DCC
Gestión Informática,CC5602,6,['CC4402'],['Macarena V. Osorio A.'],DCC
Gestión y Gobernanza de Datos,CC5603,6,['CC4402'],['Hugo Beltran A.'],DCC
Taller de Desarrollo Comercial,CC5609,3,['CC3002'],['Adolfo Carrasco A.'],DCC
Ética para Ingenieros en Computación,CC5611,3,['CC3002'],['Javier Bustos Jiménez'],DCC
Taller de Comunicación Efectiva: Caso Práctico de Lanzamiento de Producto,CC5613,3,['CC3002'],['Eduardo Godoy Vega'],DCC
Herramientas para el Trabajo en Equipo,CC5614,3,['CC3002'],['Andrea Rodríguez Silva'],DCC
"Taller de Transformación Digital, una Visión Empresarial",CC5618,3,['CC4401'],['Hugo Beltran A.'],DCC
Introducción al Derecho Informático,CC5620,6,['CC4901'],"['J. Tomás Brancoli', 'Arantxa Ereche T.']",DCC
Informática Médica,CC5701,3,['CC3201/CC42A/AUTOR'],['Sandra De la Fuente G.'],DCC
Taller de Práctica Profesional II,CC5900,No tiene,['Taller requisito para realizar la Práctica Profesional II'],['Iván Sipiran'],DCC
Práctica Profesional II,CC5901,7,"['CC4901', 'CC4401', 'CC4101', 'CC5900']",['Iván Sipiran'],DCC
Trabajo Dirigido,CC5905,6,['AUTOR'],"['Nancy Hitschfeld K.', 'Francisco J. Gutiérrez', 'Sergio F. Ochoa D.', 'Felipe Bravo Marquez', 'Alejandro Hevia A.', 'Aidan Hogan', 'Matías Toro I.']",DCC
Pensamiento Estadístico,CC6104,6,['CC5206/MA3403/MA3401/CC5205/EL3104/IN3141'],['Felipe Bravo Marquez'],DCC
Deep Learning,CC6204,6,['CC5205'],['Valentin Barriere'],DCC
Innovación y Emprendimiento,CC6603,6,['CC4401'],['Hugo Beltran A.'],DCC
Introducción al Trabajo de Título,CC6907,6,"['CC4402', 'CR267']",['Cecilia Bastarrica'],DCC
Introducción al Trabajo de Título,CC6908,3,"['CR267', '(EI4205S/EI2090)', 'CC5401']",['Cecilia Bastarrica'],DCC
Trabajo de Título,CC6909,21,"['CC6908', '(EI4205/EI2090)', 'CC5402']","['Aidan Hogan', 'Eduardo Graells Garrido', 'Matías Toro I.', 'Sebastián Ferrada Aliaga', 'Gonzalo Navarro', 'Luciano Radrigan F.', 'Nancy Hitschfeld K.', 'Andrés Muñoz Ordenes', 'Francisco J. Gutiérrez', 'Sergio F. Ochoa D.', 'Jocelyn Simmonds', 'Andrés Abeliuk', 'José M. Saavedra R.', 'Cecilia Bastarrica', 'Luis Mateu B.', 'Benjamín Bustos', 'Felipe Bravo Marquez', 'Javier Bustos Jiménez', 'Iván Sipiran']",DCC
Trabajo de Título,CC6919,CC6907,['CC6909'],"['Nancy Hitschfeld K.', 'Francisco J. Gutiérrez', 'Claudio Gutiérrez', 'Benjamín Bustos', 'Jocelyn Simmonds', 'Andrés Abeliuk', 'Éric Tanter', 'Eduardo Godoy Vega', 'Aidan Hogan', 'José M. Saavedra R.', 'Nelson Baloian T.', 'Iván Sipiran', 'Cecilia Bastarrica']",DCC
Pasantía de Investigación I,CC7010,3,['No tiene'],['Gonzalo Navarro'],DCC
Pasantía de Investigación II,CC7015,3,['No tiene'],['Gonzalo Navarro'],DCC
Investigación Dirigida,CC7020,6,['No tiene'],['Gonzalo Navarro'],DCC
"Introducción a Coq: Lógica, Tipos y Verificación",CC7125,6,['CC4101/(MA3705/MA4702)/AUTOR'],['Éric Tanter'],DCC
La Web de Datos,CC7220,6,['CC3201'],['Aidan Hogan'],DCC
Estructuras de Datos Comprimidas,CC7320,6,['CC4102/AUTOR'],['Gonzalo Navarro'],DCC
Análisis y Uso de Algoritmos Geométricos,CC7513,CC4102/AUTOR,['Electivo Magíster y Doctorado en Computación'],['Nancy Hitschfeld K.'],DCC
"Investigación en Ciencias de la Computación (Métodos, Técnicas, Perspectivas)",CC7910,6,['CC4102/AUTOR'],['Claudio Gutiérrez'],DCC
Introducción a la Tesis,CC7920,18,['No tiene'],['Gonzalo Navarro'],DCC
Trabajo de Tesis I,CC7970,No tiene,['CC797'],['Nancy Hitschfeld K.'],DCC
Trabajo de Tesis II,CC7980,No tiene,['CC798'],['Nancy Hitschfeld K.'],DCC
Trabajo de Tesis I,CC8910,30,['No tiene'],['Gonzalo Navarro'],DCC
Trabajo de Tesis II,CC8920,30,['No tiene'],['Gonzalo Navarro'],DCC
Trabajo de Tesis III,CC8930,30,['No tiene'],['Gonzalo Navarro'],DCC
Trabajo de Tesis IV,CC8940,30,['No tiene'],['Gonzalo Navarro'],DCC
Trabajo de Tesis V,CC8950,30,['No tiene'],['Gonzalo Navarro'],DCC
Trabajo de Tesis VI,CC8960,30,['No tiene'],['Gonzalo Navarro'],DCC
Gestión de Proyectos de TI,CC63B,No tiene,['Curso Exclusivo del Magister Profesional'],['Sergio F. Ochoa D.'],DCC
Negociación de Proyectos de TI,CC63C,3,['No tiene'],['Marcelo Cristián Monsalves Muñoz'],DCC
Gestión del Conocimiento,CC63E,No tiene,"['""CURSO EXCLUSIVO DEL MAGISTER PROFESIONAL""']",['Marcelo Cristián Monsalves Muñoz'],DCC
Liderando Transformaciones desde el Sentido,CC63Y,No tiene,['Electivo Magíster Profesional'],['Veronica Virgilio C.'],DCC
Algoritmos Evolutivos,CC66M,,,['Alexandre Bergel'],DCC
Inteligencia Artificial en Robótica,CC66O,,,['Rodrigo Verschae T.'],DCC
Procesamiento de Lenguaje Natural,CC66Q,,,['Andrés Abeliuk'],DCC
Taller de Proyecto IA,CC66R,,,['Juan Manuel Barrios'],DCC
Machine Learning,CC66S,No tiene,['Electivo Magíster Profesional'],"['María José Zambrano Burrows', 'Ignacio Meza De la Jara', 'Felipe Bravo Marquez']",DCC
Reconocimiento Visual con Deep Learning,CC66T,No tiene,['Curso exclusivo del Magíster Profesional'],['José M. Saavedra R.'],DCC
Redes Neuronales y Deep Learning,CC66U,No tiene,['Curso exclusivo del Magíster Profesional'],['Iván Sipiran'],DCC
Avances en Bases de Datos,CC73F,No tiene,['SOLO MAGISTER PROFESIONAL'],"['Sergio F. Ochoa D.', 'Rodrigo Frez P.']",DCC
Taller de Gestión de Proyectos de TI,CC73J,No tiene,['Electivo del Magíster Profesional'],"['Sergio F. Ochoa D.', 'Tomas Vera']",DCC
Seminario de Proyectos de TI I,CC79E,6,['No tiene'],"['Sergio F. Ochoa D.', 'Benjamín Bustos']",DCC
Seminario de Proyectos de TI II,CC79F,6,['CC79E'],"['Sergio F. Ochoa D.', 'Benjamín Bustos']",DCC
Proyecto de Grado I,CC79G,21,['CC79F'],"['Sergio F. Ochoa D.', 'Benjamín Bustos']",DCC
Proyecto de Grado II,CC79H,21,['CC79G'],"['Sergio F. Ochoa D.', 'Benjamín Bustos']",DCC
